customerID,Churn,account.Contract,account.PaymentMethod,internet.InternetService,customer.tenure,account.MonthlyCharges,account.TotalCharges,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,phone.PhoneService,phone.MultipleLines,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.PaperlessBilling
0002-ORFBO,No,One year,Mailed check,DSL,9,65.6,593.3,Female,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes
0003-MKNFE,No,Month-to-month,Mailed check,DSL,9,59.9,542.4,Male,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No
0004-TLHLJ,Yes,Month-to-month,Electronic check,Fiber optic,4,73.9,280.85,Male,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes
0011-IGKFF,Yes,Month-to-month,Electronic check,Fiber optic,13,98.0,1237.85,Male,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes
0013-EXCHZ,Yes,Month-to-month,Mailed check,Fiber optic,3,83.9,267.4,Female,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes
0013-MHZWF,No,Month-to-month,Credit card (automatic),DSL,9,69.4,571.45,Female,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes
0013-SMEOE,No,Two year,Bank transfer (automatic),Fiber optic,71,109.7,7904.25,Female,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0014-BMAQU,No,Two year,Credit card (automatic),Fiber optic,63,84.65,5377.8,Male,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes
0015-UOCOJ,No,Month-to-month,Electronic check,DSL,7,48.2,340.35,Female,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes
0016-QLJIS,No,Two year,Mailed check,DSL,65,90.45,5957.9,Female,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0017-DINOC,No,Two year,Credit card (automatic),DSL,54,45.2,2460.55,Male,No,No,No,No,No phone service,Yes,No,No,Yes,Yes,No,No
0017-IUDMW,No,Two year,Credit card (automatic),Fiber optic,72,116.8,8456.75,Female,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0018-NYROU,No,Month-to-month,Electronic check,Fiber optic,5,68.95,351.5,Female,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes
0019-EFAEP,No,Two year,Bank transfer (automatic),Fiber optic,72,101.3,7261.25,Female,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
0019-GFNTW,No,Two year,Bank transfer (automatic),DSL,56,45.05,2560.1,Female,No,No,No,No,No phone service,Yes,Yes,Yes,Yes,No,No,No
0020-INWCK,No,Two year,Credit card (automatic),Fiber optic,71,95.75,6849.4,Female,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
0020-JDNXP,No,One year,Mailed check,DSL,34,61.25,1993.2,Female,No,Yes,Yes,No,No phone service,Yes,No,Yes,Yes,Yes,Yes,No
0021-IKXGC,No,Month-to-month,Electronic check,Fiber optic,1,72.1,72.1,Female,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes
0022-TCJCI,Yes,One year,Credit card (automatic),DSL,45,62.7,2791.5,Male,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No
0023-HGHWL,Yes,Month-to-month,Electronic check,DSL,1,25.1,25.1,Male,Yes,No,No,No,No phone service,No,No,No,No,No,No,Yes
0023-UYUPN,No,One year,Electronic check,No,50,25.2,1306.3,Female,Yes,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0023-XUOPT,Yes,Month-to-month,Electronic check,Fiber optic,13,94.1,1215.6,Female,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No
0027-KWYKW,No,Month-to-month,Electronic check,Fiber optic,23,83.75,1849.95,Female,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
0030-FNXPP,No,Month-to-month,Mailed check,No,3,19.85,57.2,Female,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0031-PVLZI,Yes,Month-to-month,Mailed check,No,4,20.35,76.35,Female,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0032-PGELS,Yes,Month-to-month,Bank transfer (automatic),DSL,1,30.5,30.5,Female,No,Yes,Yes,No,No phone service,Yes,No,No,No,No,No,No
0036-IHMOT,No,One year,Bank transfer (automatic),Fiber optic,55,103.7,5656.75,Female,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
0040-HALCW,No,Two year,Credit card (automatic),No,54,20.4,1090.6,Male,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0042-JVWOJ,No,One year,Bank transfer (automatic),No,26,19.6,471.85,Male,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
0042-RLHYP,No,Two year,Bank transfer (automatic),No,69,19.7,1396.9,Female,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0047-ZHDTW,,Month-to-month,Bank transfer (automatic),Fiber optic,11,79.0,929.3,Female,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes
0048-LUMLS,No,One year,Credit card (automatic),Fiber optic,37,91.2,3247.55,Male,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No
0048-PIHNL,No,One year,Bank transfer (automatic),No,49,20.45,900.9,Female,No,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0052-DCKON,No,One year,Bank transfer (automatic),Fiber optic,66,115.8,7942.15,Male,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
0052-YNYOT,No,One year,Electronic check,No,67,20.55,1343.4,Female,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0056-EPFBG,No,Two year,Credit card (automatic),DSL,20,39.4,825.4,Male,No,Yes,Yes,No,No phone service,Yes,No,Yes,Yes,No,No,Yes
0057-QBUQH,No,Two year,Electronic check,No,43,25.1,1070.15,Female,No,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
0058-EVZWM,No,Month-to-month,Bank transfer (automatic),Fiber optic,55,89.8,4959.6,Female,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes
0060-FUALY,No,Month-to-month,Electronic check,Fiber optic,59,94.75,5597.65,Female,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
0064-SUDOG,No,Two year,Bank transfer (automatic),No,12,20.3,224.5,Female,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0064-YIJGF,No,Month-to-month,Bank transfer (automatic),Fiber optic,27,75.75,1929.0,Male,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes
0067-DKWBL,Yes,Month-to-month,Electronic check,DSL,2,49.25,91.1,Male,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes
0068-FIGTF,No,One year,Mailed check,DSL,27,78.2,2078.95,Female,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
0071-NDAFP,No,Two year,Credit card (automatic),No,25,25.5,630.6,Male,No,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
0074-HDKDG,No,One year,Bank transfer (automatic),DSL,25,61.6,1611.0,Male,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes
0076-LVEPS,No,Month-to-month,Mailed check,DSL,29,45.0,1242.45,Male,No,No,Yes,No,No phone service,Yes,Yes,Yes,Yes,No,No,Yes
0078-XZMHT,No,Two year,Bank transfer (automatic),DSL,72,85.15,6316.2,Male,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
0080-EMYVY,No,One year,Credit card (automatic),DSL,14,51.45,727.85,Female,No,No,No,Yes,No,No,Yes,No,No,No,No,No
0080-OROZO,No,One year,Electronic check,Fiber optic,35,99.25,3532.0,Female,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
0082-LDZUE,No,Month-to-month,Mailed check,DSL,1,44.3,44.3,Male,No,No,No,Yes,No,No,No,No,No,No,No,Yes
0082-OQIQY,No,Month-to-month,Electronic check,Fiber optic,29,94.2,2607.6,Male,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes
0083-PIVIK,No,One year,Electronic check,DSL,64,81.25,5567.55,Male,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
0089-IIQKO,No,Month-to-month,Credit card (automatic),Fiber optic,39,99.95,3767.4,Female,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
0093-EXYQL,No,Month-to-month,Electronic check,Fiber optic,40,91.55,3673.6,Female,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes
0093-XWZFY,Yes,Month-to-month,Credit card (automatic),Fiber optic,40,104.5,4036.85,Male,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
0094-OIFMO,Yes,Month-to-month,Electronic check,Fiber optic,11,95.0,1120.3,Female,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes
0096-BXERS,No,Month-to-month,Electronic check,DSL,6,50.35,314.55,Female,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
0096-FCPUF,No,Month-to-month,Mailed check,DSL,30,64.5,1888.45,Male,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes
0098-BOWSO,No,Month-to-month,Electronic check,No,27,19.4,529.8,Male,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
0100-DUVFC,No,One year,Electronic check,Fiber optic,70,104.8,7308.95,Male,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
0103-CSITQ,No,One year,Bank transfer (automatic),Fiber optic,57,109.4,6252.7,Female,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
0104-PPXDV,No,One year,Credit card (automatic),DSL,58,50.3,2878.55,Male,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No
0106-GHRQR,No,Month-to-month,Bank transfer (automatic),DSL,16,71.4,1212.1,Male,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
0106-UGRDO,No,Two year,Electronic check,Fiber optic,69,116.0,8182.85,Female,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0107-WESLM,Yes,Month-to-month,Electronic check,No,1,19.85,19.85,Male,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
0107-YHINA,Yes,Month-to-month,Electronic check,Fiber optic,1,99.75,99.75,Male,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
0111-KLBQG,No,Month-to-month,Mailed check,Fiber optic,32,93.95,2861.45,Male,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
0112-QAWRZ,No,Month-to-month,Bank transfer (automatic),Fiber optic,16,90.8,1442.2,Male,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes
0112-QWPNC,Yes,One year,Electronic check,DSL,49,84.35,4059.35,Male,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
0114-IGABW,No,Two year,Bank transfer (automatic),DSL,71,58.25,4145.9,Female,No,Yes,No,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,No
0114-PEGZZ,No,Month-to-month,Electronic check,Fiber optic,33,107.55,3645.5,Female,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No
0114-RSRRW,No,Month-to-month,Bank transfer (automatic),No,10,19.95,187.75,Female,No,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
0115-TFERT,Yes,Month-to-month,Electronic check,Fiber optic,21,111.2,2317.1,Male,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
0117-LFRMW,Yes,Month-to-month,Bank transfer (automatic),DSL,37,40.2,1448.8,Male,No,Yes,Yes,No,No phone service,Yes,Yes,Yes,No,No,No,No
0118-JPNOY,No,Month-to-month,Credit card (automatic),Fiber optic,26,85.8,2193.65,Female,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes
0120-YZLQA,,Two year,Credit card (automatic),No,71,19.9,1355.1,Male,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
0121-SNYRK,No,One year,Mailed check,DSL,50,35.4,1748.9,Male,No,No,No,No,No phone service,Yes,No,No,Yes,No,No,Yes
0122-OAHPZ,Yes,Month-to-month,Electronic check,Fiber optic,7,73.85,511.25,Female,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes
0123-CRBRT,No,Two year,Mailed check,DSL,61,88.1,5526.75,Female,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
0125-LZQXK,Yes,Month-to-month,Electronic check,Fiber optic,15,101.35,1553.95,Male,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
0128-MKWSG,No,Month-to-month,Mailed check,DSL,26,45.8,1147.0,Female,No,No,Yes,No,No phone service,Yes,No,No,Yes,No,Yes,No
0129-KPTWJ,No,Month-to-month,Electronic check,Fiber optic,72,94.65,6747.35,Male,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes
